"","txt","Src","Line"
"32","2 days until the Redneck Circus. Gonna be a wild time w/awesome bands, the Miss Redneck Contest, shows & more @ st lucie county fairgrounds","en_US.twitter",32
"33","I have began my annual reading of Howard Zinn's The People's History of the United States, 9th time reading it","en_US.twitter",33
"34","I guess im going to need a list of everything you've read lol","en_US.twitter",34
"35","It's #workwednesday - what are you doing for YOU today?","en_US.twitter",35
"36","Sweet for $38 you can buy a share of Facebook. Secure you d-bag status NOW!","en_US.twitter",36
"37","yeah, u didn't know","en_US.twitter",37
"38","While Jason's at a doctor's appointment, I'm stuck in the office. Why oh WHY can't I be relaxing outside with a drink right now?","en_US.twitter",38
"39","Watching an evening marathon of vid works from home is proving highly satisfying (VIP = View In Pajamas)","en_US.twitter",39
"40","Is it just me, or is the sound pretty bad tonight?Could not hear Crystal sing. I feel like I am in a subway, too bad for good show.","en_US.twitter",40
"41","I'm at AFCH with NBC 15 for Radiothon!","en_US.twitter",41
"42","Awww man! So sad to hear about Dick Clark. You will be truly missed.","en_US.twitter",42
"43","Things are good. Just been working a lot lately, but can't really complain about that :p lol....now u can get a hold of me easily","en_US.twitter",43
"44","Not a good way to start the job, huh?! RT : New nanny. First day. 30 minutes late.","en_US.twitter",44
"45","So excited it is Friday and I have a long weekend!!!","en_US.twitter",45
"46","is my OLD twitter !","en_US.twitter",46
"47","Everyone please join me in welcoming to Coincidentally, hell is really cold and pigs can fly tonight. This is HUGE!","en_US.twitter",47
"48","#NOLA we need a community defense fund started.Cause you know one of us is gonna smack the ever loving shit outta Goodell.","en_US.twitter",48
"49","Remember when outdoor garbage cans didn't have wheels? And were metal?","en_US.twitter",49
"50","Players only love you when they're playing. RT : Thunder only happens when its raining","en_US.twitter",50
"51","it's a beautiful day in tennessee! #why am i still in the car?","en_US.twitter",51
"52","Anytime. Thank you as well!","en_US.twitter",52
"53","I haven't been to Red hook in a while. Had a great meal across from the Ikea.","en_US.twitter",53
"54","Just looked in the cupboard for pita chips only to remember that I had purchased them in a dream.","en_US.twitter",54
"55","Its hot af out here!","en_US.twitter",55
"56","Interesting to see Walmart's Mexico issues raise awareness of FCPA. Wonder how aggressive will be with fines. I expect >$500M","en_US.twitter",56
"57","non much","en_US.twitter",57
"58","P.s they were deseptogons. So then my phone would transform and smash them.","en_US.twitter",58
"59","I totally agree, super crummy.","en_US.twitter",59
"60","haha those were definitely good times","en_US.twitter",60
"61","happy birthday son! ..enjoy..Ty","en_US.twitter",61
"62","im me if u r horny","en_US.twitter",62
"63","Thinking I need to get it together for summer","en_US.twitter",63
"64","It came from Mike epps mouth himself another Friday will cum out this summer starring himself and Chris Tucker...PS don't bootleg go see it","en_US.twitter",64
"65","Perhaps not exactly your department, but do you know if the library is planning any GIS workshops?","en_US.twitter",65
"66","Necessary Roughness won. I'll be playing Hot Girl. I've been practicing for this all my life. LoL!","en_US.twitter",66
"67","today's my friend's Bday and the best gift is if you follow her,will you make her dream come true?.22","en_US.twitter",67
"68","- Welcome Chase! Thanks for following! Robin Lynch Aerialist","en_US.twitter",68
"69","Tonight's Dinner Special is Blackened Salmon with Hollandaise Sauce, Mashed Potatoes and Broccoli. Twelve dollars. Enjoy.","en_US.twitter",69
"70","So neighbor complains abt the 90 seconds twice a day my dog may bark but I have to listen to your baby scream all night? : /","en_US.twitter",70
"71","ctfu. you been going in on these mfs.","en_US.twitter",71
"72","Why is Chidi taking her sweet time to open this door.","en_US.twitter",72
"73","Where are all the critters??","en_US.twitter",73
"74","And Joey Bedlam enters The Court of the Crimson King...","en_US.twitter",74
"75","Felt so good to lift and workout today after myrtle","en_US.twitter",75
"76","In the basement. Tornado touchdown sightings...and I'm","en_US.twitter",76
"77","Hello Twitter world! Welcome to our official account. We're new to this and trying to get the word out there about our film! Keep Posted!","en_US.twitter",77
"78","follow back:)?","en_US.twitter",78
"79","The business during the week of the Cowboys saying Calvin Johnson isnt that good look foolish now","en_US.twitter",79
"80","Fool me once shame on you fool me twice fuck off forever.","en_US.twitter",80
"81","Driving test tomorrow.. Gotta practice everything I need to know!","en_US.twitter",81
"82","Yeah, that's just wrong!","en_US.twitter",82
"83","RT : RT Before any decision ask ""what good can come from this decision?"" It is amazing how many things we do differently...","en_US.twitter",83
"84","year strong just on today fm. Random surprise for the drive home haha :)","en_US.twitter",84
"85","just really excited for summer haha","en_US.twitter",85
"86","Awesome thanks for the quick response!","en_US.twitter",86
"87","love is currently for the birds..***","en_US.twitter",87
"88","Sporting at the goal early","en_US.twitter",88
"89","If you don't go after what you want, you'll never have it. If u don't step forward, you'll always be in the same place.","en_US.twitter",89
"90","Some days everything seems infinitely possible","en_US.twitter",90
"91","Sounds like a great day! What kind of car? We're looking right now, too! Have fun at the game!","en_US.twitter",91
"92","True this :O "": why do people edit pictures of ICONic Boyz? Why edit something that's already perfection??""","en_US.twitter",92
"93","What? A little show and tell? lol RT Just what I needed","en_US.twitter",93
"94","I'm the scar man","en_US.twitter",94
"95","ah kaleigh wub you more see your pwetty face soon 😘","en_US.twitter",95
"96","., so I sent you an email outlining my concerns. You sent me a survey asking ""how did we do?"" Clueless.","en_US.twitter",96
"97","For this audition, call me Dr. August.","en_US.twitter",97
"98","ur dad truly a guy i respected does he make a suggestion to u if hes stoked about a prospect","en_US.twitter",98
"99","Holy moly, #BLACKOUT happy hour was AMAZING! Hope you guys don't have anything important to do at work today!","en_US.twitter",99
"100","I suck at remembering names however I never forget a beautiful face.","en_US.twitter",100
"101","#TheVoice your band is playing too fast, sounds like the performers are having to keep up w/you","en_US.twitter",101
"102","i would bieber bitch slap him .","en_US.twitter",102
"103","I LUV U TOO DAD AS A CRUSH!!","en_US.twitter",103
"104","It's time... #midnightbreakfast is tonight at Palladium & Weinstein 11pm-1230 am. See you there!","en_US.twitter",104
"105","Hello to you :)","en_US.twitter",105
"106","Didn't get to finish my homework but I've already lost so much sleep.","en_US.twitter",106
"107","did u see that sign woman was holding at OWS? thats what the reference is too, I couldnt find the link, anyway, do well be good","en_US.twitter",107
"108","I COMMAND #BatMagic RIGHT NOW!!! *Moses Voice*","en_US.twitter",108
"109","RT : Sorry The ""Word"" wasn't the Word of the Year this year. Try again next time!","en_US.twitter",109
"110","evening with & co to wrap up a lovely time at home! back to the midwest tomorrow.","en_US.twitter",110
"111","couldnt have said it better my #self #TeamSelfMade .","en_US.twitter",111
"112","I hate doing homework on sundays:/","en_US.twitter",112
"113","Inelieve that is the plan. We can also try my Skype multi-user video.","en_US.twitter",113
"114","I just landed at Midway. Taking taxi to downtown for hotel and meetings tonight and tomorrow.","en_US.twitter",114
"115","I want phill Jackson to do a documentary on coaching Michael Jordan and Kobe Bryant","en_US.twitter",115
"116","#dirtyprojectors coming to May just have to go.","en_US.twitter",116
"117","""Vienna was the city of statues."" #fridayreads Collages by Anais Nin Swallow Press 1964","en_US.twitter",117
"118","#fizzyfamily! how is everyone? who went to see Damon at Playlist? :D","en_US.twitter",118
"119","But you KNOW u want one...","en_US.twitter",119
"120","shocked if there was 1 that didn't RT Do teams monitor sales on secondary markets like stubhub for price elasticity and demand?","en_US.twitter",120
"121","Wait.... American Idol is still a thing?","en_US.twitter",121
"122","Spot trending now in Chicago, IL: Beer Bistro - Pub (live updates)","en_US.twitter",122
"123","I've never been the serious type... I'm definitely a fool at times.. Lol","en_US.twitter",123
"124","Last few hours in Beirut! Back to","en_US.twitter",124
"125","nope chicken soup","en_US.twitter",125
"126","awesome way to start the week! Can't wait to hear you speak!!","en_US.twitter",126
"127","We can discuss further tomorrow.","en_US.twitter",127
"128","Apparently some people still send out game requests on Facebook","en_US.twitter",128
"129","Ouch!!! These prices are great hahaa wtf!! 😄","en_US.twitter",129
"130","The dark knight rises trailer looked epic . No prologue before my imax movie though","en_US.twitter",130
"131","I have turned into cookie monster.. I swear! Keep me away from your cookies!! :)","en_US.twitter",131
"132","That was very sneaky of you, Gerry. Chipmunks! Download! Now!","en_US.twitter",132
"133","Someday will play and it will be INCREDIBLE","en_US.twitter",133
"134","We must call and ask for rates... pretty amazing place.","en_US.twitter",134
"135","""I put cheese on EVERYTHING."" -- America","en_US.twitter",135
"136","I think its great #obama supports #gay marriage. But what happened to illegal #Israeli settlements and closing #gitmo??","en_US.twitter",136
"137","that means a lot :) it's nice to meet you!!","en_US.twitter",137
"138","Catch a BUZZ at Sutra tonight with ATL favorite DJ Kid Cedek!","en_US.twitter",138
"139","Happy Holidays and much abundance in 2012 to !","en_US.twitter",139
"140","RT : Looking for potential panel-sharers for #4C13 focused on social media, collaboration, & rhet/lit/comp.","en_US.twitter",140
"141","thank you for all your help last night!","en_US.twitter",141
"142","I'm not even talking about the cloud, just my local NAS/Homegroup. And I don't really put video on my android.","en_US.twitter",142
"143","Follow , he's interested in personal communication and productivity.","en_US.twitter",143
"144","Hi, Steph! I'm doing well, thanks. Working on a final paper one paragraph at a time, lol. How are you?","en_US.twitter",144
"145","Mar 01,2012: Disney on Ice Presents Treasure Trove March 1-4 Save $$ with discounted tickets!!: 7:00pm: US Cellular ...","en_US.twitter",145
"146","me either. Root canal time.","en_US.twitter",146
"147","I hope so!! X","en_US.twitter",147
"148","Ah, today was a good day(: Goodnight (:","en_US.twitter",148
"149","dude I just queued it the other day. Really wanna watch it","en_US.twitter",149
"150","Maybe your dick is so small because you took 3/4 of it and shoved it into your personality","en_US.twitter",150
"151","When is season 4 of jersey shore gonna start.","en_US.twitter",151
"152","yea right? I must be getting ""so famous"" LOL...and my hair color really? Ha","en_US.twitter",152
"153","I finished my 15 summaries! I thought I wasnt gonna makie it :') Now I gotta do my cover, table of contents and then reflection.","en_US.twitter",153
"154","Allman Pancakes Band","en_US.twitter",154
"155","A: ""everyone, and every generation, has a personal line: where is it? That's a fluid concept""","en_US.twitter",155
"156","Oh, how true. RT .: If you're generally good at BS'ing, it means you don't hang around people who are smarter than you.","en_US.twitter",156
"157","You know there is a problem with the education system when you realize that out of the 3 R's only one begins with an R.-- Dennis Miller","en_US.twitter",157
"158","The way you treat yourself sets the standard for others. Keep smiling.","en_US.twitter",158
"159","Woahh what up ?! How you livin ??","en_US.twitter",159
"160","i just wrote something down, correctly spelled, only backwards. WHATS WRONG WITH ME?","en_US.twitter",160
"161","goin two months w/out my laptop was like a crash course in smartphoning, feelin so high tech now","en_US.twitter",161
"162","Minutes away from John Doe performing","en_US.twitter",162
"163","Happy St. Patrick's Day!!","en_US.twitter",163
"164","Happy new year(=","en_US.twitter",164
"165","Monday, it's happening. And it's about to get owned.","en_US.twitter",165
"166","hey, somewhat related side-note. Do you write in the margins of your books?","en_US.twitter",166
"167","Thought that popped into my head while thinking about a book: If a African American had wrote this book it wouldn't have been published.","en_US.twitter",167
"168","I'm so mad they didn't call my name & I left then they actually meant to but they messed up and were looking for me in the finals.. #madaf'","en_US.twitter",168
"169","You're welcome Susan!","en_US.twitter",169
"170","i know a couple things about it! lol:)","en_US.twitter",170
"171","when guys offer to smoke me out & I have to say no<<<<<<","en_US.twitter",171
"172","Not been week :'/","en_US.twitter",172
"173","Pontiac Trans Am Pullover Hoodie Firebird Power Adult Purple Hoody","en_US.twitter",173
"174","It was delightful, a perfect contrast to the weather! Had us summer-dreaming. . . Hope you had a good day!","en_US.twitter",174
"175","LOL THIS NIGGA ABOUT TO GET HIS CAR FUCK UP SHE MAD AS HELL CTFU","en_US.twitter",175
"176","Don't forget to make your appt for Spa Week !","en_US.twitter",176
"177","my pleasure!! Found the photos n I had to! :p","en_US.twitter",177
"178","What can't wine fix? Nothing here.","en_US.twitter",178
"179","Dine and dash with and This will be interesting...","en_US.twitter",179
"180","What are the top songs on your recently played list?","en_US.twitter",180
"181","We hope the boyz are okay!","en_US.twitter",181
"182","Is got a peeling nose or sunburn? #cancunvacation #smbmad. Hope she used sunscreen on vacation.","en_US.twitter",182
"183","Today at the improvisational retreat, we learned about mitosis, Nihilism and plumbing.","en_US.twitter",183
"184","Why Do People Assume When You're A Teen & Pregnant, You Automatically Drop Out Of School etc? ..","en_US.twitter",184
"185","especially when it's something I make :)","en_US.twitter",185
"186","Everyone always talks about the early bird. How about the early worm? How'd that work out for him?","en_US.twitter",186
"187","People must not know I got special vision I can clearly see through the bullshit","en_US.twitter",187
"188","I'm seriously about to hit these stupid dogs! They don't stop barking over a damn bug really? Ugh.","en_US.twitter",188
"189","what happen?!?","en_US.twitter",189
"190","you too :)","en_US.twitter",190
"191","YES it's true! Shorty's will be opening up in Boca this month. The corner of 441 and Clint Moore Rd.","en_US.twitter",191
"192","your new tattoo is cute. :3","en_US.twitter",192
"193","Havent been on twitter for 48 hours!!!!!!!!!!!hahaha..Ive been waiting for this moment","en_US.twitter",193
"194","Quit using the bad fathers you know as an excuse not to say #happyfathersday. You don't use that excuse on Mothers day!","en_US.twitter",194
"195","Ah school. :/","en_US.twitter",195
"196","From a lesson I saw recently....sort the following into nouns or verbs: run, walk, bat, hammer, hop, dance. (& yes, had to be one or other)","en_US.twitter",196
"197","if that's what it takes, I can help you find porn followers","en_US.twitter",197
"198","Space tonight! Can't wait to dance with Molly 😝💊","en_US.twitter",198
"199","Do you guys think I'd be a good playboy bunny ^_^","en_US.twitter",199
"200","I could use some banana split dippin dots right about now :P","en_US.twitter",200
"201","My husband just said 2 months ago that Should perform with Santana.... Even wanted me to inbox Justin and I didnt... LOL. EPIC","en_US.twitter",201
"202","Well, Twitter says I've hit my limit for tonight. If you're legit... I don't mind following you back. Grin. Have a great night!","en_US.twitter",202
"203","Going to for a nice little workout, I have a great","en_US.twitter",203
"204","Gonna leave right saw beggining of #Raw .. Cena got fucked up lol","en_US.twitter",204
"205","RT : that looks at least 67% appealing :) // Lol! The drink and what else, Lorne?","en_US.twitter",205
"206","But what can anyone say...If you're a happy family while you're here...who cares.","en_US.twitter",206
"207","This Nats-Phillies rivalry will be fun","en_US.twitter",207
"208","love you too :)","en_US.twitter",208
"209","i know me too!","en_US.twitter",209
"210","Living and Loving the","en_US.twitter",210
"211","I work with the most awesome peeps!","en_US.twitter",211
"212","no thats where I'm headed haha is your brothers team headed to st Louis this weekend","en_US.twitter",212
"213","omg.this is insane.People still watch it and waste their time? this is unfair.","en_US.twitter",213
"214","RT : April is Child Abuse Prevention Month. Follow #PrioritizeChildren and follow through. Raise awareness. Take action.","en_US.twitter",214
"215","boy you a fool for that video,""I got bronchitis I got bronchitis,ain't nobody got time for that""😂😂😂😂😂","en_US.twitter",215
"216","so you have a prius loaner?","en_US.twitter",216
"217","Explaining to my friend what Google Wave was.","en_US.twitter",217
"218","Had a great time at the Brendan Behan session this evening. Thank you all for the lovely tunes.","en_US.twitter",218
"219","Bout to see what this Nebraska strip club be like.","en_US.twitter",219
"220","Happy Birthday to our friend Dwayne Johnson!! Did you know made his debut right here in Survivor Series '96??","en_US.twitter",220
"221","We will trade you 10 pictures for a brand new shirt. Spread the word.","en_US.twitter",221
"222","I smell like men and booze!","en_US.twitter",222
"223","My dog is afraid of burglars. I had to put a dog alarm in his dog house.","en_US.twitter",223
"224","Fair enough. I'll be sure to include that in my cover letter!","en_US.twitter",224
"225","Positive thinking makes positive actions, which provides positive results!!! Eliminate negative thinking from your life, it serves no good!","en_US.twitter",225
"226","Where you at boss man?","en_US.twitter",226
"227","what series ?","en_US.twitter",227
"228","Abscess in my mouth, so painful it's unreal","en_US.twitter",228
"229","Regardlex of how many tymz our heart got broken, we somehow still get intrinsically connected 2 the one's we adore.","en_US.twitter",229
"230","Wow......so angry at my biology teacher","en_US.twitter",230
"231","And that'd be what?!?","en_US.twitter",231
"232","Aawww cadet Kelly is on :)","en_US.twitter",232
"233","Wait.... Wait, wait, wait, wait. I... I wanna be on you.","en_US.twitter",233
"234","#cheers 2 U!","en_US.twitter",234
"235","lol yes I am. You don't hit me up, you don't come see me, you stay trying to play me, I'm throwing in the towel. Lol","en_US.twitter",235
"236","motto now is Never to excel!","en_US.twitter",236
"237","They finish with a couple rants on other sports news and their NCAA Tourney Final Four predictions. Download and listen today!! (3/4)","en_US.twitter",237
"238",":( make sure u come home often so we can get our nails done and take trips to Waffle House! But YEA for senior year!!!","en_US.twitter",238
"239","Day-Dreaming *sigh*","en_US.twitter",239
"240","got railed by two tests today. great. -_-","en_US.twitter",240
"241","MY LAST DAY OF HIGH SCHOOL TOMORROW!!!! #DONE! #BYEKIDS!","en_US.twitter",241
"242","Moving up.","en_US.twitter",242
"243","i just joined twitter and I am so confused. hey you wanna be the first person to tweet me?! x","en_US.twitter",243
"244","Playing at The Ritz Carlton in Orlando til 3pm today in The Vineyard","en_US.twitter",244
"245","On World AIDS Day, December 1, Ticketmaster will donate a portion of every ticket sold in the United States to fight HIV/AIDS.","en_US.twitter",245
"246","Have you ever wondered why?","en_US.twitter",246
"247","lmao hahaha forreaaaaallll I like that you have that side of you a very caring person you can tell haha I was in good hands","en_US.twitter",247
"248","All projects result in museum exhibition that emphasized the communication element","en_US.twitter",248
"249","Listening to KidRock. I don't care what anyone says, I love listening to KidRock","en_US.twitter",249
"250","It aint over... n I quote","en_US.twitter",250
"251","Almost time for lyceum auditions!","en_US.twitter",251
"252","My point about Gere was that there is much at ""home"" for him to invest his activist passion into addressing. More useful too.","en_US.twitter",252
"253","big fan of your music here in saint Paul mn. Can't wait to hear more!","en_US.twitter",253
"254","I also had a mealworm in 1 of my mom's homemade canned green beans. Bean fell off the fork, split apart, and TA-DA! Mealworm.","en_US.twitter",254
"255","I always knew you had super powers ;-)","en_US.twitter",255
"256","The anthropology section is no longer in the Rose room, not that it matters.","en_US.twitter",256
"257","- BIB is good for everyday wine. Tetra has to be heat sealed, so the integrity of the wine is compromised. Pouch is ideal!","en_US.twitter",257
"258","“: You look great with that spray tan.”","en_US.twitter",258
"259","Being in a relationship is not about kissing, dates or showing off. It's about being with the person who makes you happy.","en_US.twitter",259
"260","Start your 2012 off on the right foot w/ #DNation. Training for the starts in 3 weeks with coach","en_US.twitter",260
"261","glad you like the Mini Carafes and the 200ml bottles!","en_US.twitter",261
"262","2007 Monte Carlo","en_US.twitter",262
"263","#WordPress #Tools Amazon Wishlist – Add your Amazon Wishlist to your blog.","en_US.twitter",263
"264","Can someone please explain to me how the hell it is that these girls on My Big Fat #GypsyWedding are ALL stacked? Is it genetics? Diet? Wth?","en_US.twitter",264
"265","Join our email list& check out our website @ OhioAnimalCompanion.org :)","en_US.twitter",265
"266","A big thank you to the Fox Chapel High School choir, our featured glee club today! They sound fantastic","en_US.twitter",266
"267","Great advice for marketing and PR pros, as well as those trying to keep a woman happy.","en_US.twitter",267
"268","I love you 2 death Dylan, but idk what 2 do. Ever sense we kissed, youve acted diffErent","en_US.twitter",268
"269","There's more if you haven't had breakfast. Nothing like cake and scrambled eggs.","en_US.twitter",269
"270","Good Morning everyone waking up in #Chicago on my way to #Scottsdale this evening...","en_US.twitter",270
"271","dubstep and metal are the only ways to exercise!","en_US.twitter",271
"272","Every time I go tanning I get burned","en_US.twitter",272
"273","That's semi-absolutely true for almost most of us. Why you hatin'?","en_US.twitter",273
"274","good good thanks love <3","en_US.twitter",274
"275","I have to stop procrastinating...","en_US.twitter",275
"276","i dont have a credit card","en_US.twitter",276
"277","any time! Show was good and rowdy. Just like we like 'em.","en_US.twitter",277
"278","Yeah that's good advice. I think once life's a bit calmer I will have a go. Itching to get one idea down.","en_US.twitter",278
"279","« Tweeting via Mobile > Tweeting via Web»","en_US.twitter",279
"280","Here I am!","en_US.twitter",280
"281","darling girl, mostly useless for me: you know they mostly don't even make them in an A, right?","en_US.twitter",281
"282","I DONT WANT THE fame I JUST WANT THE CHECKS ....FROM THE SKEE to THE D' ..I'M GRINDIN ~ WAT UP DOE: GUNRU / FLINT / LANSING/ I96 WE STRETCHN","en_US.twitter",282
"283",""": I miss them"" dey said wat it do lol","en_US.twitter",283
"284","not me!!","en_US.twitter",284
"285","The gentleman drinking a beer on the E train kindly informed me that he would be smoking crack and ""getting freaky"" tonight. It's 8:30 a.m.","en_US.twitter",285
"286","you can picture the smile :)","en_US.twitter",286
"287","I'm really excited for you. I'll definitely be thinking of you both!","en_US.twitter",287
"288","You are the bomb diggity - Thank you!","en_US.twitter",288
"289","Open Source- describes a philosophy, methodology or practice in dev that promotes access to end product's source material- Word up!","en_US.twitter",289
"290","and you will make a very pretty peacock! I wanted to be a bird and have chris be a hunter with a gun for halloween!","en_US.twitter",290
"291","You've followed & unfollowed me three times in like a week.","en_US.twitter",291
"292","always tough to get that qwitter email. feels like drawing second place beauty contest $10 card in monopoly","en_US.twitter",292
"293","when do new tunes get released?","en_US.twitter",293
"294","hey mike! Let's chat sometime.","en_US.twitter",294
"295","A third thing we can learn from the book of Daniel. Do the right thing even when it is costly.","en_US.twitter",295
"296","Safety on first play....","en_US.twitter",296
"297","What a handsome boy Baz is! Although he looks very serious in that pose.","en_US.twitter",297
"298","Pray for me","en_US.twitter",298
"299","I'm a hermit","en_US.twitter",299
"300","Deltona, Sanford, Winter Springs, Winter Park, and Orlando...it begins any minute","en_US.twitter",300
"301","-- what is the deal for the John Corabi show on 8/7/11? No info on site, FB or here. Need times/price, please?","en_US.twitter",301
"302","There are several trains a day!","en_US.twitter",302
"303","u still in osky?","en_US.twitter",303
"304","We have an official hashtag for the Networks and Networking in the Humanities NEH seminar: #HumNets. Five days to go before we start.","en_US.twitter",304
"305","yep! And chocolates. She's good like that.","en_US.twitter",305
"306","For the market rally we are in the end of month commit the cash phase. Not a time to get sucked in with the fund managers","en_US.twitter",306
"307","glad you came the wanted","en_US.twitter",307
"308","I don't need another friend like seriously i have enough..","en_US.twitter",308
"309","haha I was not enjoying myself. Love spells for that lasts special request?","en_US.twitter",309
"310","sounds like a military state to me!","en_US.twitter",310
"311","That's it. #DnB is back as my all time fav. #Dubstep is #3. Tks to #Pendulum & Masochist 4 reminding me where I came from","en_US.twitter",311
"312","I wake up with Money on ma Mind so ma Goal is to get this Money","en_US.twitter",312
"313","What a butter face, right?","en_US.twitter",313
"314","Mariah Carey is like twice Justin Bieber's age... this is the most awkward duet in history.","en_US.twitter",314
"315","#YouwereCuteUntil you started talking.","en_US.twitter",315
"316","OH: Prince Charles is Stannis Baratheon. No one wants him to be king.","en_US.twitter",316
"317","I won't lie. I've snuggled with 's sweatshirts before to help me sleep. DAT AROMA.","en_US.twitter",317
"318","""I'm thinking one Girl. She thinking Me, Earl , James and Jimmy. Yea, she had plenty. But Love for me, she didn't have Any""","en_US.twitter",318
"319","You are such a damn sweet talker! No wonder all the ladies love you!! Titanic next??","en_US.twitter",319
"320","#FromThisDayForward i will ignore everything she says","en_US.twitter",320
"321","finally back at the crib chillin.","en_US.twitter",321
"322","it is pretty legit","en_US.twitter",322
"323","cause unless your actually bowling, its boring... Lol","en_US.twitter",323
"324",". alum, David Ferriero, at #DPLA: ""If it's not online, it doesn't exist""","en_US.twitter",324
"325","Awww...that's because I'm awesome! :D","en_US.twitter",325
"326","Good morning #LIW ladies! So great to see everyone this morning! cc:","en_US.twitter",326
"327","great to meet & friends last night in line to get Draft tix. more than 1,000 fans lined up for night 1 of","en_US.twitter",327
"328","Keep your eyes on the skies NW of the Twin Cities. Stuff blowin up","en_US.twitter",328
"329","I know I don't RT : Good point: SM is 24/7. Do you stop engaging when you leave at 5 (in theory)?","en_US.twitter",329
"330","Perhaps the best dinner ever tonight at Purple. I am now a huge fan of wine flights and baked Brie.","en_US.twitter",330
"331","thats john legend song ""ordinary People""","en_US.twitter",331
"332","care by joel faviere >","en_US.twitter",332
"333","best of luck in the NBA was a joy having you play for the","en_US.twitter",333
"334","Hahahaha ah I love him :)","en_US.twitter",334
"335","I think I want to get a #samsungnote!! :)","en_US.twitter",335
"336","#Millennials and Print Newspapers: A Surprising Story","en_US.twitter",336
"337","RT : BOSS: you were 3min late ME: who gives a shit BOSS: what did you say? ME: what did you hear?","en_US.twitter",337
"338","I'm heading to Palm Springs with the USC Sirens a cappella group that I just got into for our retreat!! Yay!!","en_US.twitter",338
"339","Happy Mothers Day Mama Schmidt. Have a good and happy day","en_US.twitter",339
"340","thank you frances! ☺","en_US.twitter",340
"341","GMail interface is now so ingrained in me that I was able to show a patron how to attach a file... in the Arabic version.","en_US.twitter",341
"342","can i do more than one? ^_^","en_US.twitter",342
"343","That hit to the temple that kid took was scary. Had a similar thing happen to me in high school.","en_US.twitter",343
"344","Devin Harris has 6 points and the Jazz have hit 6 of last 10 shots. Jazz lead the Spurs 16-15 with 3:29 left in the first quarter.","en_US.twitter",344
"345","pre ordered mine this morning :p. (seriously) but it only a replica","en_US.twitter",345
"346","Lovely! Humphrey sprayed by skunk. Happy saturday :/","en_US.twitter",346
"347","young based god and my girls Miley Cyrus party in the USA oh my god","en_US.twitter",347
"348","hell yea..!","en_US.twitter",348
"349","thanks Broom!!!","en_US.twitter",349
"350","Thank you:)","en_US.twitter",350
"351","Music wine food awesome","en_US.twitter",351
"352","The next mornings always roughh . Work till 4 then sleeepinggg for the rest of my lifee !","en_US.twitter",352
"353","Make something today...with your hands from you heart.","en_US.twitter",353
"354","I love the way u promote the team everyday all day thanks for the","en_US.twitter",354
"355","People who are always reminding you of your mistakes hinders your growth. CUT THEM OFF! Those people are ONLY good for bringing you down.","en_US.twitter",355
"356","Can someone please tell that we needn't be shy with butter anymore?","en_US.twitter",356
